# %ECSV 0.9
# ---
# datatype:
# - {name: wavelength, unit: micron, datatype: float32}
# - {name: flux, unit: erg / (Angstrom cm2 s), datatype: float32}
# meta: !!omap
# - __serialized_columns__:
#     flux:
#       __class__: astropy.units.quantity.Quantity
#       unit: !astropy.units.Unit {unit: erg / (Angstrom cm2 s)}
#       value: !astropy.table.SerializedColumn {name: flux}
#     wavelength:
#       __class__: astropy.units.quantity.Quantity
#       unit: !astropy.units.Unit {unit: micron}
#       value: !astropy.table.SerializedColumn {name: wavelength}
# schema: astropy-2.0
wavelength flux
0.9106732 6.412431e-14
0.91079736 6.048847e-14
0.9109215 6.454392e-14
0.9110457 6.458732e-14
0.9111698 6.2530405e-14
0.911294 6.477513e-14
0.91141814 6.0348766e-14
0.91154236 5.5696357e-14
0.9116665 6.2038326e-14
0.91179067 5.93511e-14
0.9119148 5.4873756e-14
0.912039 5.9856695e-14
0.91216314 6.627929e-14
0.9122873 5.4011747e-14
0.91241145 6.407661e-14
0.9125356 6.076507e-14
0.9126598 7.6262835e-14
0.912784 6.0484075e-14
0.91290814 6.240344e-14
0.9130323 5.909523e-14
0.91315645 7.134366e-14
0.91328067 4.963673e-14
0.9134048 6.337587e-14
0.913529 5.4240727e-14
0.9136532 6.643052e-14
0.91377735 5.758787e-14
0.9139015 5.1961616e-14
0.91402566 5.233628e-14
0.9141499 5.0673946e-14
0.91427404 6.1248824e-14
0.9143982 5.2489934e-14
0.9145224 6.6064484e-14
0.91464657 6.077364e-14
0.9147708 4.215369e-14
0.91489494 5.302942e-14
0.9150191 5.10692e-14
0.9151433 5.086091e-14
0.91526747 4.7848407e-14
0.9153917 5.793461e-14
0.91551584 5.5577545e-14
0.91564006 5.2925173e-14
0.9157642 5.978483e-14
0.9158884 5.952111e-14
0.9160126 4.709748e-14
0.9161368 6.199793e-14
0.91626096 5.2966945e-14
0.9163852 5.6387895e-14
0.91650933 6.004981e-14
0.91663355 6.2356695e-14
0.9167577 6.109488e-14
0.9168819 5.3237552e-14
0.9170061 6.302204e-14
0.9171303 6.07366e-14
0.91725445 6.73591e-14
0.91737866 5.229691e-14
0.9175029 5.3252453e-14
0.91762704 5.8696e-14
0.91775125 4.909923e-14
0.91787547 5.5166856e-14
0.9179996 5.2756797e-14
0.91812384 5.5529823e-14
0.91824806 5.898252e-14
0.9183722 6.07123e-14
0.91849643 6.3887934e-14
0.91862065 5.826089e-14
0.9187448 5.898477e-14
0.918869 5.8462275e-14
0.91899323 5.6923196e-14
0.9191174 5.5915145e-14
0.9192416 5.882659e-14
0.9193658 6.796813e-14
0.91949004 6.043305e-14
0.9196142 5.6326464e-14
