# %ECSV 0.9
# ---
# datatype:
# - {name: wavelength, unit: micron, datatype: float32}
# - {name: flux, unit: erg / (Angstrom cm2 s), datatype: float32}
# meta: !!omap
# - __serialized_columns__:
#     flux:
#       __class__: astropy.units.quantity.Quantity
#       value: !astropy.table.SerializedColumn {name: flux}
#     wavelength:
#       __class__: astropy.units.quantity.Quantity
#       value: !astropy.table.SerializedColumn {name: wavelength}
# schema: astropy-2.0
wavelength flux
0.910825 2.8240705e-14
0.910951 1.994111e-14
0.911076 3.750919e-14
0.911201 3.3534356e-14
0.911327 3.041363e-14
0.911452 3.929436e-14
0.911577 2.809104e-14
0.911703 3.6970877e-14
0.911828 2.850513e-14
0.911953 3.0658036e-14
0.912079 3.468994e-14
0.912204 2.890285e-14
0.912329 3.308604e-14
0.912455 3.0957272e-14
0.91258 3.5326397e-14
0.912705 2.9760936e-14
0.91283 3.443356e-14
0.912956 3.8757947e-14
0.913081 2.5078984e-14
0.913206 1.566709e-14
0.913332 2.7927357e-14
0.913457 3.0195806e-14
0.913582 3.5342894e-14
0.913708 3.2640215e-14
0.913833 3.185143e-14
0.913958 2.8045268e-14
0.914083 3.6367004e-14
0.914209 2.4816293e-14
0.914334 2.3180661e-14
0.914459 2.9232994e-14
0.914584 2.6530691e-14
0.91471 2.9810823e-14
0.914835 2.821363e-14
0.91496 2.7379932e-14
0.915085 3.1603263e-14
0.915211 2.98006e-14
0.915336 2.6473108e-14
0.915461 2.5903824e-14
0.915586 3.4635977e-14
0.915712 3.066601e-14
0.915837 2.5941793e-14
0.915962 2.7388748e-14
0.916087 2.7207083e-14
0.916213 2.886501e-14
0.916338 2.4582309e-14
0.916463 2.631876e-14
0.916588 2.314431e-14
0.916714 3.2274605e-14
0.916839 2.6484172e-14
0.916964 2.4234824e-14
0.917089 2.890261e-14
0.917214 2.885647e-14
0.91734 2.5611615e-14
0.917465 2.5586292e-14
0.91759 2.447654e-14
0.917715 2.5308054e-14
0.91784 2.047593e-14
0.917966 2.2674889e-14
0.918091 2.7376684e-14
0.918216 2.684727e-14
0.918341 2.1949637e-14
0.918466 2.3351563e-14
0.918591 2.926798e-14
0.918717 3.0659123e-14
0.918842 2.878507e-14
0.918967 2.6315789e-14
0.919092 2.6841488e-14
0.919217 2.2338957e-14
0.919342 3.1768218e-14
0.919468 2.6924667e-14
0.919593 2.7650588e-14
0.919718 2.4642206e-14
0.919843 2.4309674e-14
0.919968 1.9639111e-14
0.920093 2.5961324e-14
0.920218 2.5950408e-14
0.920344 2.3233692e-14
0.920469 2.5672766e-14
0.920594 2.5048387e-14
0.920719 2.2576047e-14
0.920844 2.1512624e-14
0.920969 2.9505397e-14
0.921094 2.57272e-14
0.921219 2.59166e-14
0.921344 2.6677757e-14
0.92147 2.2603052e-14
0.921595 2.5693487e-14
0.92172 2.5790425e-14
0.921845 2.1742844e-14
0.92197 2.3527309e-14
0.922095 2.449461e-14
0.92222 2.3745325e-14
0.922345 2.6452187e-14
0.92247 2.5935034e-14
0.922595 2.7923917e-14
0.92272 2.9606468e-14
0.922846 2.6209552e-14
