# %ECSV 0.9
# ---
# datatype:
# - {name: wavelength, unit: micron, datatype: float32}
# - {name: flux, unit: erg / (Angstrom cm2 s), datatype: float32}
# meta: !!omap
# - __serialized_columns__:
#     flux:
#       __class__: astropy.units.quantity.Quantity
#       unit: !astropy.units.Unit {unit: erg / (Angstrom cm2 s)}
#       value: !astropy.table.SerializedColumn {name: flux}
#     wavelength:
#       __class__: astropy.units.quantity.Quantity
#       unit: !astropy.units.Unit {unit: micron}
#       value: !astropy.table.SerializedColumn {name: wavelength}
# schema: astropy-2.0
wavelength flux
0.910614 3.5069085e-14
0.910739 3.707911e-14
0.910864 2.6562318e-14
0.910989 4.1710193e-14
0.911114 2.8417654e-14
0.91124 4.107759e-14
0.911365 2.3148865e-14
0.91149 2.994263e-14
0.911615 3.076655e-14
0.91174 2.7088908e-14
0.911865 3.1872173e-14
0.91199 3.0974823e-14
0.912115 3.0351806e-14
0.912241 2.9118797e-14
0.912366 2.3843688e-14
0.912491 2.7573858e-14
0.912616 3.08991e-14
0.912741 3.2058947e-14
0.912866 3.1012333e-14
0.912991 2.7485387e-14
0.913116 3.1174346e-14
0.913241 2.6942461e-14
0.913367 2.5749503e-14
0.913492 2.9259022e-14
0.913617 3.333786e-14
0.913742 2.7823872e-14
0.913867 3.1634082e-14
0.913992 2.3685176e-14
0.914117 3.0433853e-14
0.914242 2.7888136e-14
0.914367 2.2981049e-14
0.914492 2.6152005e-14
0.914617 2.8112187e-14
0.914742 2.926e-14
0.914868 3.053636e-14
0.914993 2.950633e-14
0.915118 2.9582988e-14
0.915243 2.906304e-14
0.915368 2.5550078e-14
0.915493 2.6261206e-14
0.915618 3.1203416e-14
0.915743 1.9761507e-14
0.915868 1.7572481e-14
0.915993 2.1101708e-14
0.916118 1.771436e-14
0.916243 2.2805019e-14
0.916368 2.1757085e-14
0.916493 2.4818472e-14
0.916618 2.6775704e-14
0.916743 2.5100473e-14
0.916868 2.4109444e-14
0.916993 2.7605978e-14
0.917118 2.3811961e-14
0.917243 2.6436422e-14
0.917368 2.1878697e-14
0.917493 2.5438442e-14
0.917618 2.7230837e-14
0.917744 2.1296028e-14
0.917868 2.1915607e-14
0.917993 2.5247975e-14
0.918119 2.5793285e-14
0.918244 2.3988537e-14
0.918369 2.2419526e-14
0.918494 2.8447995e-14
0.918619 2.352871e-14
0.918744 2.8413288e-14
0.918869 2.3366818e-14
0.918994 2.2449192e-14
0.919119 2.3288132e-14
0.919244 2.5792069e-14
0.919369 2.3961507e-14
0.919493 2.3913593e-14
0.919618 2.5813664e-14
0.919743 1.820315e-14
0.919868 2.2833262e-14
0.919993 2.375499e-14
0.920118 2.5293114e-14
0.920243 2.404436e-14
0.920368 2.4905477e-14
0.920493 2.3242476e-14
0.920618 2.2795091e-14
0.920743 2.0409979e-14
0.920868 2.1834634e-14
0.920993 2.283936e-14
0.921118 1.9917627e-14
0.921243 2.136821e-14
0.921368 2.1130282e-14
0.921493 1.9910045e-14
0.921618 2.3086288e-14
0.921743 2.2084106e-14
0.921868 2.156874e-14
0.921993 1.9771455e-14
0.922118 2.2262438e-14
0.922243 2.161652e-14
0.922367 2.5309163e-14
0.922492 2.2991285e-14
0.922617 2.480454e-14
0.922742 2.3711832e-14
0.922867 2.5661788e-14
0.922992 2.6635842e-14
0.923117 2.525782e-14
0.923242 2.2940835e-14
0.923367 1.9422069e-14
0.923492 2.1231575e-14
0.923617 2.0526509e-14
0.923742 2.239776e-14
0.923866 2.145933e-14
0.923991 2.4474839e-14
0.924116 1.911489e-14
0.924241 1.9599666e-14
0.924366 2.0277652e-14
0.924491 2.26316e-14
0.924616 2.0966657e-14
0.924741 2.0498753e-14
0.924866 2.2262758e-14
0.92499 1.8216389e-14
0.925115 2.1346807e-14
0.92524 2.0487235e-14
0.925365 2.2867203e-14
0.92549 2.1577554e-14
0.925615 1.9911161e-14
0.92574 1.7249878e-14
0.925865 2.2027468e-14
0.925989 1.7655436e-14
0.926114 2.0002908e-14
0.926239 2.1937425e-14
0.926364 2.2521522e-14
0.926489 2.035856e-14
0.926614 2.0385301e-14
0.926739 2.0779709e-14
0.926863 1.9761441e-14
0.926988 2.0763906e-14
0.927113 1.9006039e-14
0.927238 1.980479e-14
0.927363 1.9012776e-14
0.927488 2.0641204e-14
0.927612 2.0208365e-14
0.927737 2.1034815e-14
0.927862 2.0577361e-14
0.927987 2.1562064e-14
0.928112 1.8920798e-14
0.928236 1.9634214e-14
0.928361 1.8311971e-14
0.928486 1.909793e-14
0.928611 1.9998316e-14
0.928736 2.0061216e-14
0.928861 1.8272449e-14
0.928985 1.9697126e-14
0.92911 1.8229e-14
0.929235 1.8116109e-14
0.92936 1.8308546e-14
0.929485 1.9477751e-14
0.929609 1.7354228e-14
0.929734 2.0176387e-14
0.929859 2.0933157e-14
0.929984 2.1352657e-14
0.930108 2.0292387e-14
0.930233 1.8476147e-14
0.930358 2.147267e-14
0.930483 1.7618517e-14
0.930608 2.0751364e-14
0.930732 2.0236474e-14
0.930857 1.6456263e-14
0.930982 1.6996072e-14
0.931107 2.1142654e-14
0.931231 2.1295355e-14
0.931356 2.122598e-14
0.931481 1.9924714e-14
0.931606 2.096733e-14
0.93173 2.1625048e-14
0.931855 2.0220218e-14
0.93198 2.0595139e-14
0.932105 1.9278551e-14
0.932229 1.9328447e-14
0.932354 1.9124113e-14
0.932479 1.9278151e-14
0.932604 1.7596323e-14
0.932728 2.244738e-14
0.932853 2.128674e-14
0.932978 2.0839511e-14
0.933102 1.8973314e-14
0.933227 2.1869866e-14
0.933352 2.1598588e-14
0.933477 2.0050347e-14
0.933601 2.3085254e-14
0.933726 2.1334714e-14
0.933851 2.1623928e-14
0.933976 2.2469836e-14
0.9341 1.8440819e-14
0.934225 2.2110477e-14
0.93435 2.210076e-14
0.934474 2.0634798e-14
0.934599 2.2671786e-14
0.934724 1.9298218e-14
0.934848 2.133185e-14
0.934973 2.087923e-14
0.935098 2.0718953e-14
0.935222 1.9845126e-14
0.935347 2.1356064e-14
0.935472 2.2320138e-14
0.935596 1.9536112e-14
0.935721 2.2463207e-14
0.935846 2.0571083e-14
0.93597 1.9538031e-14
0.936095 2.0796848e-14
0.93622 2.2239206e-14
0.936344 2.0845223e-14
0.936469 2.0312518e-14
0.936594 1.983076e-14
0.936718 2.0110786e-14
0.936843 2.0982697e-14
0.936968 2.0702598e-14
0.937092 2.0815738e-14
0.937217 1.7427362e-14
0.937342 2.125864e-14
0.937466 1.9311928e-14
0.937591 2.0003005e-14
0.937716 1.9631293e-14
0.93784 2.0156001e-14
0.937965 2.20679e-14
0.938089 2.051336e-14
0.938214 1.9415149e-14
0.938339 2.173132e-14
0.938463 2.464052e-14
0.938588 2.117445e-14
0.938712 2.1790836e-14
0.938837 2.1754974e-14
0.938962 2.2406829e-14
0.939086 2.2645936e-14
0.939211 2.0265946e-14
0.939336 2.1052657e-14
0.93946 2.049089e-14
0.939585 2.0702368e-14
0.939709 2.0934638e-14
0.939834 2.0562392e-14
0.939958 2.1145573e-14
0.940083 2.1141665e-14
0.940208 2.2177178e-14
0.940332 2.0953887e-14
0.940457 2.1475253e-14
0.940581 2.1017742e-14
0.940706 1.992276e-14
0.94083 2.1036092e-14
0.940955 2.1569242e-14
0.94108 2.145272e-14
0.941204 2.1233454e-14
0.941329 2.3147986e-14
0.941453 2.133256e-14
0.941578 1.989148e-14
0.941702 2.072552e-14
0.941827 2.103436e-14
0.941952 2.1201804e-14
0.942076 2.2700154e-14
0.942201 2.1481123e-14
0.942325 2.1976172e-14
0.94245 2.1754086e-14
0.942574 2.1394758e-14
0.942699 2.0741677e-14
0.942823 2.186249e-14
0.942948 2.1803971e-14
0.943072 2.2563189e-14
0.943197 2.1696812e-14
0.943321 2.1299084e-14
0.943446 2.099247e-14
0.94357 2.0403313e-14
0.943695 2.1066951e-14
0.943819 2.2498154e-14
0.943944 2.1659335e-14
0.944068 1.9971024e-14
0.944193 2.0600565e-14
0.944375 1.9909442e-14
0.944522 2.145532e-14
0.94467 2.0881935e-14
0.944817 2.0120727e-14
0.944964 2.0162349e-14
0.945112 2.064025e-14
0.945259 2.1477142e-14
0.945406 2.133451e-14
0.945553 2.1212709e-14
0.945701 1.9867122e-14
0.945848 2.1683176e-14
0.945995 2.2082493e-14
0.946143 2.2468116e-14
0.94629 2.1695585e-14
0.946437 2.2489274e-14
0.946584 2.1362276e-14
0.946732 2.1414407e-14
0.946879 2.0993622e-14
0.947026 2.1093616e-14
0.947173 2.1428168e-14
0.947321 2.1301386e-14
0.947468 2.1418651e-14
0.947615 2.1552418e-14
0.947762 2.1539131e-14
0.94791 2.168826e-14
0.948057 2.1790458e-14
0.948204 2.1582323e-14
0.948352 2.0558916e-14
0.948499 2.2336145e-14
0.948646 2.2197891e-14
0.948793 2.1168017e-14
0.94894 2.1209896e-14
0.949088 2.107632e-14
0.949235 2.1118076e-14
0.949382 2.1977259e-14
0.949529 2.1112225e-14
0.949677 2.1306475e-14
0.949824 2.1038872e-14
0.949971 2.1326872e-14
0.950118 2.1679747e-14
0.950265 2.120447e-14
0.950413 2.3104511e-14
0.95056 2.2149539e-14
0.950707 2.0825803e-14
0.950854 2.0946681e-14
0.951001 2.0914456e-14
0.951149 2.1330151e-14
0.951296 2.1751603e-14
0.951443 2.0703027e-14
0.95159 2.1249534e-14
0.951737 2.1746673e-14
0.951885 2.186213e-14
0.952032 2.1974769e-14
0.952179 2.1851095e-14
0.952326 2.1038738e-14
0.952473 2.1104915e-14
0.95262 2.1985033e-14
0.952768 2.1898234e-14
0.952915 2.1553973e-14
0.953062 2.0976468e-14
0.953209 2.1921953e-14
0.953356 2.172205e-14
0.953503 2.1860274e-14
0.95365 2.243799e-14
0.953798 2.2530194e-14
0.953945 2.2255852e-14
0.954092 2.2480966e-14
0.954239 2.300018e-14
0.954386 2.3999855e-14
0.954533 2.3422989e-14
0.954681 2.3525088e-14
0.954828 2.3818323e-14
0.954975 2.3360696e-14
0.955122 2.3702064e-14
0.955269 2.3264732e-14
0.955416 2.267281e-14
0.955563 2.1699675e-14
0.95571 2.2280963e-14
0.955857 2.1714638e-14
0.956005 2.2085635e-14
0.956152 2.2114145e-14
0.956299 2.2314238e-14
0.956446 2.216439e-14
0.956593 2.1779052e-14
0.95674 2.1928616e-14
0.956887 2.1610299e-14
0.957034 2.1654536e-14
0.957181 2.1271286e-14
0.957328 2.1013603e-14
0.957475 2.0653694e-14
0.957623 2.084669e-14
0.95777 2.1021552e-14
0.957917 2.160548e-14
0.958064 2.1921072e-14
0.958211 2.1341434e-14
0.958358 2.2017835e-14
0.958505 2.2001837e-14
0.958652 2.156109e-14
0.958799 2.1897704e-14
0.958946 2.1579813e-14
0.959093 2.1254272e-14
0.95924 2.1100643e-14
0.959387 2.1853233e-14
0.959534 2.1556528e-14
0.959681 2.1285479e-14
0.959828 2.165875e-14
0.959976 2.1578029e-14
0.960123 2.0172073e-14
0.96027 1.996973e-14
0.960417 2.0955092e-14
0.960564 2.1737984e-14
0.960711 2.1745645e-14
0.960858 2.1454184e-14
0.961005 2.120742e-14
0.961152 2.1246404e-14
0.961299 2.1577026e-14
0.961446 2.1776207e-14
0.961593 2.1256885e-14
0.96174 2.0908066e-14
0.961887 2.1464537e-14
0.962034 2.1728962e-14
0.962181 2.1535797e-14
0.962328 2.1323819e-14
0.962475 2.1693888e-14
0.962622 2.1477157e-14
0.962769 2.1512836e-14
0.962916 2.1283947e-14
0.963063 2.1584424e-14
0.96321 2.1745521e-14
0.963357 2.1803421e-14
0.963504 2.1540012e-14
0.963651 2.1664386e-14
0.963798 2.1523175e-14
0.963945 1.9751651e-14
0.964092 1.9185496e-14
0.964239 1.958368e-14
0.964386 2.1259534e-14
0.964533 2.1790277e-14
0.96468 2.1437645e-14
0.964826 2.1098857e-14
0.964973 2.0002717e-14
0.96512 2.0416398e-14
0.965267 2.107341e-14
0.965414 2.0978573e-14
0.965561 2.0898271e-14
0.965708 2.1101508e-14
0.965855 2.1196822e-14
0.966002 2.1381197e-14
0.966149 2.1292962e-14
0.966296 2.1359504e-14
0.966443 2.0632527e-14
0.96659 2.1271052e-14
0.966737 2.1392297e-14
0.966884 2.1492451e-14
0.967031 2.1375571e-14
0.967177 2.0899425e-14
0.967324 2.065238e-14
0.967471 2.0959119e-14
0.967618 2.0889464e-14
0.967765 1.9579414e-14
0.967912 1.9853061e-14
0.968059 2.1003566e-14
0.968206 2.1736817e-14
0.968353 2.1964249e-14
0.9685 2.1639683e-14
0.968646 2.1607873e-14
0.968793 2.1144636e-14
0.96894 2.0967088e-14
0.969087 2.0161403e-14
0.969234 2.0292561e-14
0.969381 2.0995863e-14
0.969528 2.1472743e-14
0.969675 2.1883408e-14
0.969822 2.147794e-14
0.969968 2.2017703e-14
0.970115 2.2079255e-14
0.970262 2.1620155e-14
0.970409 2.136429e-14
0.970556 2.1278889e-14
0.970703 2.0551508e-14
0.97085 2.0138957e-14
0.970996 2.0640202e-14
0.971143 2.1362633e-14
0.97129 2.198018e-14
0.971437 2.2352232e-14
0.971584 2.1950952e-14
0.971731 2.1430332e-14
0.971877 2.1837861e-14
0.972024 2.1397499e-14
0.972171 2.1040795e-14
0.972318 2.1525894e-14
0.972465 2.181305e-14
0.972612 2.1628426e-14
0.972758 2.1661995e-14
0.972905 2.1516578e-14
0.973052 2.0276637e-14
0.973199 2.0287457e-14
0.973346 2.1107255e-14
0.973492 2.1663322e-14
0.973639 2.1434709e-14
0.973786 2.0949435e-14
0.973933 2.1084866e-14
0.97408 2.1086633e-14
0.974226 2.1412285e-14
0.974373 2.1925173e-14
0.97452 2.073957e-14
0.974667 2.0315487e-14
0.974814 2.1107543e-14
0.97496 2.1761528e-14
0.975107 2.1143188e-14
0.975254 2.1643696e-14
0.975401 2.208058e-14
0.975547 2.1494391e-14
0.975694 2.1840196e-14
0.975841 2.212586e-14
0.975988 2.1504168e-14
0.976134 2.1678038e-14
0.976281 2.213056e-14
0.976428 2.1702756e-14
0.976575 2.1509141e-14
0.976722 2.0939149e-14
0.976868 2.1374715e-14
0.977015 2.1258042e-14
0.977162 2.1079633e-14
0.977308 2.060115e-14
0.977455 2.1634573e-14
0.977602 2.254167e-14
0.977749 2.2311746e-14
0.977895 2.2125654e-14
0.978042 2.1831925e-14
0.978189 2.1711762e-14
0.978336 2.1548296e-14
0.978482 2.0080475e-14
0.978629 1.9230977e-14
0.978776 2.0382494e-14
0.978922 2.0757559e-14
0.979069 1.9949542e-14
0.979216 2.117865e-14
0.979363 2.1943744e-14
0.979509 2.1835849e-14
0.979656 2.1783614e-14
0.979803 2.1889402e-14
0.979949 2.2124035e-14
0.980096 2.2125891e-14
0.980243 2.1988442e-14
0.980389 2.1820194e-14
0.980536 2.1934313e-14
0.980683 2.2007734e-14
0.980829 2.1788029e-14
0.980976 2.1805254e-14
0.981123 2.200167e-14
0.981269 2.2103926e-14
0.981416 2.1867677e-14
0.981563 2.1796236e-14
0.981709 2.1928927e-14
0.981856 2.1743305e-14
0.982003 2.1807973e-14
0.982149 2.1624704e-14
0.982296 2.1722089e-14
0.982443 2.188746e-14
0.982589 2.2139303e-14
0.982736 2.1816545e-14
0.982883 2.1825057e-14
0.983029 2.1638751e-14
0.983176 2.2045062e-14
0.983323 2.1728348e-14
0.983469 2.1204259e-14
0.983616 2.1430682e-14
0.983763 2.1955035e-14
0.983909 2.2235038e-14
0.984056 2.2474346e-14
0.984202 2.2297961e-14
0.984349 2.1972297e-14
0.984496 2.1444018e-14
0.984642 2.1041257e-14
0.984789 2.121357e-14
0.984935 2.1751164e-14
0.985082 2.2112337e-14
0.985229 2.2075391e-14
0.985375 2.1999653e-14
0.985522 2.1770099e-14
0.985668 2.197097e-14
0.985815 2.2260412e-14
0.985962 2.18201e-14
0.986108 2.2193063e-14
0.986255 2.1831136e-14
0.986401 2.1916202e-14
0.986548 2.1970878e-14
0.986695 2.1958846e-14
0.986841 2.1880972e-14
0.986988 2.2172834e-14
0.987134 2.196586e-14
0.987281 2.202505e-14
0.987427 2.237191e-14
0.987574 2.1967805e-14
0.98772 2.1961598e-14
0.987867 2.2173706e-14
0.988014 2.2418602e-14
0.98816 2.211633e-14
0.988307 2.2055474e-14
0.988453 2.2043031e-14
0.9886 2.2352795e-14
0.988746 2.2364228e-14
0.988893 2.2400772e-14
0.989039 2.2018037e-14
0.989186 2.1694753e-14
0.989332 2.1700066e-14
0.989479 2.1796145e-14
0.989625 2.2059631e-14
0.989772 2.197e-14
0.989918 2.1491179e-14
0.990065 2.0989424e-14
0.990212 2.1469083e-14
0.990358 2.1228887e-14
0.990505 2.1036936e-14
0.990651 2.0860082e-14
0.990798 2.084952e-14
0.990944 2.0430211e-14
0.991091 2.0778989e-14
0.991237 2.099501e-14
0.991384 2.0946586e-14
0.99153 2.0806853e-14
0.991677 2.0460093e-14
0.991823 2.0603292e-14
0.991969 2.0583106e-14
0.992116 2.086076e-14
0.992262 2.132401e-14
0.992409 2.108134e-14
0.992555 2.0539524e-14
0.992702 2.0728331e-14
0.992848 2.0730445e-14
0.992995 2.0863157e-14
0.993141 2.1142923e-14
0.993288 2.1555743e-14
0.993434 2.1281459e-14
0.993581 2.1121888e-14
0.993727 2.0903794e-14
0.993874 2.1430323e-14
