# %ECSV 0.9
# ---
# datatype:
# - {name: wavelength, unit: micron, datatype: float32}
# - {name: flux, unit: erg / (Angstrom cm2 s), datatype: float32}
# meta: !!omap
# - __serialized_columns__:
#     flux:
#       __class__: astropy.units.quantity.Quantity
#       unit: !astropy.units.Unit {unit: erg / (Angstrom cm2 s)}
#       value: !astropy.table.SerializedColumn {name: flux}
#     wavelength:
#       __class__: astropy.units.quantity.Quantity
#       unit: !astropy.units.Unit {unit: micron}
#       value: !astropy.table.SerializedColumn {name: wavelength}
# schema: astropy-2.0
wavelength flux
0.320097 6.54829e-15
0.320201 1.32147e-14
0.320305 8.43663e-15
0.320409 8.27736e-15
0.320513 1.30998e-14
0.320617 9.2205e-15
0.320721 7.11886e-15
0.320826 1.09425e-14
0.32093 1.02022e-14
0.321034 7.88112e-15
0.321138 9.01784e-15
0.321242 7.71712e-15
0.321346 9.4115e-15
0.321451 1.05784e-14
0.321555 6.89267e-15
0.321659 8.56196e-15
0.321763 6.46301e-15
0.321867 6.45605e-15
0.321972 8.57258e-15
0.322076 8.03529e-15
0.32218 9.12607e-15
0.322284 8.07896e-15
0.322388 7.45918e-15
0.322493 7.3929e-15
0.322597 9.30456e-15
0.322701 9.60254e-15
0.322805 1.10241e-14
0.32291 9.82752e-15
0.323014 9.97937e-15
0.323118 9.10653e-15
0.323223 9.05272e-15
0.323327 7.16434e-15
0.323431 1.02805e-14
0.323535 8.58833e-15
0.32364 9.28177e-15
0.323744 1.05858e-14
0.323848 8.72914e-15
0.323953 8.32182e-15
0.324057 7.68857e-15
0.324161 8.37568e-15
0.324266 8.67381e-15
0.32437 6.43661e-15
0.324475 7.51619e-15
0.324579 6.54548e-15
0.324683 7.76542e-15
0.324788 1.07235e-14
0.324892 8.66827e-15
0.324996 6.39916e-15
0.325101 8.00726e-15
0.325205 6.06999e-15
0.32531 8.26364e-15
0.325414 7.271e-15
0.325519 7.5605e-15
0.325623 9.04273e-15
0.325727 1.05347e-14
0.325832 7.85666e-15
0.325936 1.0554e-14
0.326041 9.18506e-15
0.326145 8.30405e-15
0.32625 8.08395e-15
0.326354 7.07769e-15
0.326459 8.68822e-15
0.326563 8.07842e-15
0.326668 8.54981e-15
0.326772 8.4936e-15
0.326877 9.10875e-15
0.326981 9.71886e-15
0.327086 8.6905e-15
0.32719 9.30796e-15
0.327295 9.39085e-15
0.327399 7.7992e-15
0.327504 6.69684e-15
0.327608 1.03077e-14
0.327713 8.27515e-15
0.327818 8.05138e-15
0.327922 9.47846e-15
0.328027 8.91873e-15
0.328131 8.89101e-15
0.328236 9.87798e-15
0.328341 1.01049e-14
0.328445 7.93786e-15
0.32855 8.98011e-15
0.328654 7.47218e-15
0.328759 8.55463e-15
0.328864 7.25626e-15
0.328968 8.23882e-15
0.329073 9.05537e-15
0.329178 7.37819e-15
0.329282 6.98088e-15
0.329387 8.12533e-15
0.329492 7.66791e-15
0.329596 8.38672e-15
0.329701 7.32057e-15
0.329806 8.29723e-15
0.32991 8.02617e-15
0.330015 8.02789e-15
0.33012 8.14841e-15
0.330224 8.64509e-15
0.330329 7.20781e-15
0.330434 7.40877e-15
0.330539 6.91534e-15
0.330643 8.74907e-15
0.330748 8.17057e-15
0.330853 7.22859e-15
0.330958 8.63727e-15
0.331062 6.902e-15
0.331167 8.82882e-15
0.331272 6.86067e-15
0.331377 8.71972e-15
0.331482 8.005e-15
0.331586 9.5204e-15
0.331691 8.40833e-15
0.331796 7.7999e-15
0.331901 6.68986e-15
0.332006 7.40242e-15
0.33211 9.97625e-15
0.332215 9.12477e-15
0.33232 8.08648e-15
0.332425 8.44586e-15
0.33253 8.68102e-15
0.332635 8.61392e-15
0.332739 9.40919e-15
0.332844 8.29671e-15
0.332949 9.26771e-15
0.333054 9.0746e-15
0.333159 8.47067e-15
0.333264 7.7612e-15
0.333369 8.68765e-15
0.333474 7.36152e-15
0.333579 8.92664e-15
0.333684 7.63992e-15
0.333788 8.25276e-15
0.333893 8.17012e-15
0.333998 9.5296e-15
0.334103 8.50106e-15
0.334208 8.36585e-15
0.334313 8.40083e-15
0.334418 9.02687e-15
0.334523 7.91812e-15
0.334628 7.50239e-15
0.334733 1.04031e-14
0.334838 8.66034e-15
0.334943 8.88704e-15
0.335048 8.17454e-15
0.335153 8.31514e-15
0.335258 8.26764e-15
0.335363 7.88513e-15
0.335468 7.51133e-15
0.335573 9.83055e-15
0.335678 7.44602e-15
0.335783 7.60514e-15
0.335888 8.92621e-15
0.335993 7.65899e-15
0.336098 7.29448e-15
0.336203 8.00755e-15
0.336308 7.73196e-15
0.336413 7.87981e-15
0.336519 8.4703e-15
0.336624 7.85116e-15
0.336729 8.09268e-15
0.336834 7.10286e-15
0.336939 8.91908e-15
0.337044 8.69979e-15
0.337149 7.9284e-15
0.337254 8.89484e-15
0.337359 9.07616e-15
0.337465 8.94405e-15
0.33757 8.46558e-15
0.337675 8.53871e-15
0.33778 1.12534e-14
0.337885 9.18729e-15
0.33799 8.9483e-15
0.338095 8.94627e-15
0.338201 9.11603e-15
0.338306 7.92718e-15
0.338411 7.75267e-15
0.338516 9.21053e-15
0.338621 9.3992e-15
0.338727 9.29884e-15
0.338832 9.27951e-15
0.338937 8.01333e-15
0.339042 8.87274e-15
0.339147 1.02357e-14
0.339253 8.99795e-15
0.339358 9.62922e-15
0.339463 8.70525e-15
0.339568 7.44263e-15
0.339674 8.56938e-15
0.339779 7.58535e-15
0.339884 9.5571e-15
0.339989 9.49986e-15
0.340095 8.74882e-15
0.3402 8.92777e-15
0.340305 9.06534e-15
0.340411 9.03601e-15
0.340516 9.97078e-15
0.340621 9.53838e-15
0.340727 8.92112e-15
0.340832 9.9672e-15
0.340937 9.04008e-15
0.341042 1.00162e-14
0.341148 8.80285e-15
0.341253 8.00016e-15
0.341358 8.25071e-15
0.341464 8.43102e-15
0.341569 8.50903e-15
0.341675 7.82247e-15
0.34178 8.95631e-15
0.341885 9.47505e-15
0.341991 9.02805e-15
0.342096 7.10761e-15
0.342201 8.65931e-15
0.342307 9.44592e-15
0.342412 8.23136e-15
0.342518 8.44353e-15
0.342623 8.00302e-15
0.342729 8.56667e-15
0.342834 9.02911e-15
0.342939 8.33209e-15
0.343045 8.87096e-15
0.34315 9.69001e-15
0.343256 7.74608e-15
0.343361 8.80756e-15
0.343467 8.75205e-15
0.343572 7.73923e-15
0.343678 8.64723e-15
0.343783 9.0178e-15
0.343889 7.99345e-15
0.343994 8.56414e-15
0.344099 7.9813e-15
0.344205 9.65919e-15
0.34431 9.60271e-15
0.344416 8.31459e-15
0.344522 9.21151e-15
0.344627 9.0256e-15
0.344733 9.06978e-15
0.344838 8.19102e-15
0.344944 8.95738e-15
0.345049 9.17136e-15
0.345155 8.90729e-15
