# %ECSV 0.9
# ---
# datatype:
# - {name: wavelength, unit: micron, datatype: float32}
# - {name: flux, unit: erg / (Angstrom cm2 s), datatype: float32}
# meta: !!omap
# - __serialized_columns__:
#     flux:
#       __class__: astropy.units.quantity.Quantity
#       unit: !astropy.units.Unit {unit: erg / (Angstrom cm2 s)}
#       value: !astropy.table.SerializedColumn {name: flux}
#     wavelength:
#       __class__: astropy.units.quantity.Quantity
#       unit: !astropy.units.Unit {unit: micron}
#       value: !astropy.table.SerializedColumn {name: wavelength}
# schema: astropy-2.0
wavelength flux
0.330106 4.83044e-16
0.330344 -1.06583354e-16
0.330582 -8.203921e-16
0.33082 -3.7635905e-16
0.331058 2.868746e-16
0.331296 -7.115148e-16
0.331534 -2.549937e-16
0.331772 -4.7693387e-16
0.33201 5.452286e-17
0.332248 8.7209824e-16
0.332486 1.5597441e-16
0.332724 -5.540182e-16
0.332962 7.0361603e-16
0.3332 6.4309965e-16
0.333438 -1.8787388e-16
0.333676 -3.881149e-16
0.333914 -3.3420696e-16
0.334152 -1.8220486e-16
0.33439 4.4153511e-16
0.334628 -1.5668024e-16
0.334866 8.17648e-16
0.335104 2.0092597e-16
0.335342 -8.3306815e-17
0.33558 7.967599e-17
0.335818 9.910257e-17
0.336056 3.2131988e-16
0.336294 4.947572e-16
0.336532 4.558563e-17
0.33677 -2.9725692e-16
0.337008 -7.6427677e-16
0.337246 -6.3832445e-16
0.337484 -6.788888e-16
0.337722 -1.09167016e-16
0.33796 2.3856154e-16
0.338198 7.6839044e-16
0.338436 2.3657928e-17
0.338674 -6.552026e-16
0.338912 -5.374278e-16
0.33915 1.895662e-16
0.339388 2.987842e-17
0.339626 1.6803275e-16
0.339864 1.1440117e-16
0.340102 6.009759e-16
0.34034 -6.531482e-17
0.340578 -6.909178e-17
0.340816 -2.0347943e-16
0.341054 3.6202651e-16
0.341292 1.8604498e-16
0.34153 -1.4296073e-18
0.341768 -1.5019813e-16
0.342006 3.1238456e-16
0.342244 -1.9092068e-16
0.342482 -1.2335354e-16
0.34272 1.7731359e-16
0.342958 -2.4979277e-16
0.343196 -6.994865e-18
0.343434 9.316183e-16
0.343672 4.488486e-16
0.34391 2.9500813e-16
0.344148 6.3772444e-16
0.344386 2.3729003e-16
0.344624 3.244116e-16
0.344862 1.8449406e-16
0.3451 -5.7183505e-17
0.345338 1.0677234e-16
0.345576 2.7706892e-16
0.345814 5.282702e-16
0.346052 3.809829e-16
0.34629 6.0932956e-16
0.346528 4.407273e-16
0.346766 3.1235616e-16
0.347004 3.915414e-16
0.347242 -5.06908e-17
0.34748 2.1619171e-16
0.347718 2.3799352e-16
0.347956 7.74424e-16
0.348194 9.530861e-16
0.348432 2.8394387e-16
0.34867 2.0575935e-16
0.348908 3.94252e-16
0.349146 3.2666776e-16
0.349384 6.2105647e-16
0.349622 6.6886417e-16
0.34986 9.194851e-16
0.350098 5.5859276e-16
0.350336 5.4524247e-16
0.350574 3.1710926e-16
0.350812 2.1606414e-16
0.35105 3.863168e-16
0.351288 2.6048476e-16
0.351526 -4.8396515e-17
0.351764 6.385961e-18
0.352002 3.8823625e-16
0.35224 2.8450664e-16
0.352478 -5.277503e-18
