# %ECSV 0.9
# ---
# datatype:
# - {name: wavelength, unit: micron, datatype: float32}
# - {name: flux, unit: erg / (Angstrom cm2 s), datatype: float32}
# meta: !!omap
# - __serialized_columns__:
#     flux:
#       __class__: astropy.units.quantity.Quantity
#       value: !astropy.table.SerializedColumn {name: flux}
#     wavelength:
#       __class__: astropy.units.quantity.Quantity
#       value: !astropy.table.SerializedColumn {name: wavelength}
# schema: astropy-2.0
wavelength flux
0.330106 5.8223954e-16
0.330344 7.1148216e-16
0.330582 6.145951e-16
0.33082 6.278874e-16
0.331058 4.098563e-16
0.331296 6.1287466e-16
0.331534 1.286325e-15
0.331772 8.213408e-16
0.33201 8.930462e-16
0.332248 6.125577e-16
0.332486 1.1733414e-15
0.332724 9.017447e-16
0.332962 9.526191e-16
0.3332 9.50649e-16
0.333438 5.2344344e-16
0.333676 9.734768e-16
0.333914 8.291003e-16
0.334152 9.294789e-16
0.33439 1.3950805e-15
0.334628 1.362968e-15
0.334866 9.345168e-16
0.335104 1.0999392e-15
0.335342 1.2965967e-15
0.33558 6.9640164e-16
0.335818 9.780966e-16
0.336056 7.534839e-16
0.336294 6.3044514e-16
0.336532 2.393433e-16
0.33677 6.918025e-16
0.337008 7.858476e-16
0.337246 1.6864646e-15
0.337484 1.162535e-15
0.337722 9.876604e-16
0.33796 1.1120732e-15
0.338198 8.3653053e-16
0.338436 8.743832e-16
0.338674 9.27689e-16
0.338912 1.1126802e-15
0.33915 1.2096415e-15
0.339388 1.469202e-15
0.339626 9.24897e-16
0.339864 8.7275935e-16
0.340102 5.8054526e-16
0.34034 1.0763132e-15
0.340578 1.111243e-15
0.340816 1.294161e-15
0.341054 1.2956915e-15
0.341292 9.504047e-16
0.34153 6.4115926e-16
0.341768 5.78135e-16
0.342006 2.663045e-16
0.342244 5.6704997e-16
0.342482 9.290504e-16
0.34272 1.6002449e-15
0.342958 1.3183696e-15
0.343196 1.0804521e-15
0.343434 9.253185e-16
0.343672 1.1223018e-15
0.34391 7.12033e-16
0.344148 7.2605197e-16
0.344386 9.450198e-16
0.344624 1.0635618e-15
0.344862 7.6566484e-16
0.3451 1.0347267e-15
0.345338 1.2697932e-15
0.345576 1.2131811e-15
0.345814 9.615068e-16
0.346052 9.027778e-16
0.34629 1.2621497e-15
0.346528 1.0459524e-15
0.346766 6.2763135e-16
0.347004 7.7027747e-16
0.347242 1.0941642e-15
0.34748 1.1137132e-15
0.347718 1.0851133e-15
0.347956 9.152467e-16
0.348194 1.1288039e-15
0.348432 1.0784401e-15
0.34867 7.6734144e-16
0.348908 1.153593e-15
0.349146 1.152123e-15
0.349384 9.5034e-16
0.349622 1.0029538e-15
0.34986 1.0153777e-15
0.350098 9.295277e-16
0.350336 7.174921e-16
0.350574 9.937339e-16
0.350812 8.1646284e-16
0.35105 6.2712287e-16
0.351288 7.063433e-16
0.351526 7.1895807e-16
0.351764 8.7290096e-16
0.352002 1.2157956e-15
0.35224 1.1171056e-15
0.352478 1.0641756e-15
0.352716 8.882403e-16
0.352954 1.098358e-15
0.353192 1.5699227e-15
0.35343 1.1009537e-15
0.353668 9.119989e-16
0.353906 1.3846201e-15
0.354144 1.1514459e-15
0.354382 1.0235655e-15
0.35462 8.379314e-16
0.354858 9.251653e-16
0.355096 1.3569266e-15
0.355334 1.1956145e-15
0.355572 7.920789e-16
0.35581 7.468517e-16
0.356048 8.678647e-16
0.356286 1.2925861e-15
0.356524 1.171687e-15
0.356762 9.688754e-16
0.357 8.4226616e-16
0.357238 8.7229676e-16
0.357476 9.055139e-16
0.357714 9.700231e-16
0.357952 1.0834005e-15
0.35819 9.044812e-16
0.358428 8.985899e-16
0.358666 1.1382598e-15
0.358904 9.843006e-16
0.359142 6.682102e-16
0.35938 7.064052e-16
0.359618 9.651056e-16
0.359856 8.493813e-16
0.360094 7.6047486e-16
0.360332 8.7188103e-16
0.36057 9.317501e-16
0.360808 9.701866e-16
0.361046 1.1161778e-15
0.361284 1.2584955e-15
0.361522 1.2306831e-15
0.36176 1.0041697e-15
0.361998 8.3303546e-16
0.362236 1.1323351e-15
0.362474 1.0906567e-15
0.362712 1.1243867e-15
0.36295 1.1338023e-15
0.363188 1.0898124e-15
0.363426 1.0341645e-15
0.363664 8.930585e-16
0.363902 1.0441268e-15
0.36414 1.2344749e-15
0.364378 1.0402996e-15
0.364616 1.1397311e-15
0.364854 1.3933155e-15
0.365092 1.3097053e-15
0.36533 1.3003369e-15
0.365568 1.2093945e-15
0.365806 1.1111306e-15
0.366044 1.0982512e-15
0.366282 1.1016244e-15
0.36652 1.1012371e-15
0.366758 1.127665e-15
0.366996 1.0533122e-15
0.367234 1.1402923e-15
0.367472 1.2093408e-15
0.36771 1.2065994e-15
0.367948 1.2544106e-15
0.368186 1.1724489e-15
0.368424 1.1867349e-15
0.368662 1.163598e-15
0.3689 1.2222679e-15
0.369138 1.3203672e-15
0.369376 1.3176959e-15
0.369614 1.2945746e-15
0.369852 1.5438052e-15
