  i           filename[i]         MJD  year  mm  dd      i_flux   i_mag  mg8807ew  mg_8807_flux  fe8689ew  fe_8689_flux   K7700ew   K_7700_flux   K7326ew   K_7326_flux   K7016ew   K_7016_flux  Li6708ew  Li_6708_flux  bl6500ew  bl_6500_flux  ca6122ew  ca_6122_flux  un5660ew  un_5660_flux  un5270ew  un_5270_flux
  0         1046778i.fits  54806.4375  2008  12   6    4.896780  -1.725  0.046878    0.00250588  0.047765    0.00237585  0.055652    0.00224029  0.030764    0.00115302  0.025526    0.00090923  0.057540    0.00173083  0.139731    0.00447520  0.088331    0.00262717  0.094622    0.00255106  0.463586    0.01096113
  1         1046779i.fits  54806.4531  2008  12   6    5.184492  -1.787  0.047739    0.00270865  0.049064    0.00258717  0.056183    0.00239883  0.030790    0.00122290  0.025315    0.00095419  0.057584    0.00185001  0.140187    0.00476801  0.088057    0.00278509  0.096342    0.00277375  0.464982    0.01173134
  2         1046780i.fits  54806.4648  2008  12   6    5.079676  -1.765  0.047933    0.00267244  0.047915    0.00246693  0.056334    0.00236965  0.031002    0.00120392  0.024979    0.00091920  0.058499    0.00182013  0.138235    0.00456994  0.087975    0.00271437  0.094090    0.00264196  0.469690    0.01159081
  3         1046781i.fits  54806.4805  2008  12   6    5.034720  -1.755  0.047128    0.00258403  0.048851    0.00250422  0.055374    0.00228376  0.030833    0.00118863  0.025675    0.00094320  0.057890    0.00179009  0.140487    0.00463534  0.087189    0.00268225  0.091325    0.00253059  0.475531    0.01173403
  4         1046954i.fits  54807.3867  2008  12   7    5.797891  -1.908  0.048199    0.00303530  0.049369    0.00291475  0.056028    0.00272313  0.031155    0.00139653  0.026764    0.00115605  0.057154    0.00209381  0.140445    0.00547055  0.088399    0.00323566  0.092091    0.00305170  0.462995    0.01355368
  5         1046955i.fits  54807.4023  2008  12   7    5.824822  -1.913  0.049058    0.00312001  0.048548    0.00287684  0.055524    0.00269800  0.031371    0.00141586  0.026569    0.00114333  0.057456    0.00210947  0.141697    0.00554518  0.089880    0.00331679  0.097386    0.00325545  0.472077    0.01386980
  6         1046956i.fits  54807.4180  2008  12   7    5.889675  -1.925  0.049370    0.00317120  0.048922    0.00292177  0.054353    0.00267080  0.031032    0.00141065  0.026312    0.00114368  0.057162    0.00212756  0.140395    0.00555711  0.088520    0.00328950  0.089841    0.00303418  0.464658    0.01388409
  7         1046957i.fits  54807.4297  2008  12   7    5.889884  -1.925  0.048092    0.00308986  0.048931    0.00293439  0.055666    0.00274529  0.030628    0.00139450  0.027683    0.00121450  0.057075    0.00212940  0.138937    0.00551377  0.087777    0.00326969  0.095361    0.00323630  0.470084    0.01406749
  8         1047097i.fits  54808.4062  2008  12   8    4.087337  -1.529  0.047252    0.00216345  0.045951    0.00193150  0.056674    0.00189668  0.030489    0.00093633  0.025257    0.00073057  0.057449    0.00139400  0.140655    0.00362796  0.087978    0.00207574  0.093591    0.00195844  0.462026    0.00837162
  9         1047098i.fits  54808.4219  2008  12   8    4.034379  -1.514  0.045125    0.00201729  0.046452    0.00193641  0.056789    0.00186945  0.030749    0.00092904  0.025329    0.00072518  0.055661    0.00131938  0.140624    0.00356166  0.088211    0.00204355  0.087067    0.00177431  0.467529    0.00842170
 10         1047099i.fits  54808.4375  2008  12   8    3.682022  -1.415  0.047581    0.00197190  0.047822    0.00184525  0.056745    0.00169683  0.030313    0.00083874  0.024610    0.00063475  0.056167    0.00121153  0.141652    0.00323644  0.088863    0.00186410  0.093982    0.00175110  0.461034    0.00737586
 11         1047100i.fits  54808.4492  2008  12   8    3.631907  -1.400  0.046133    0.00187665  0.047165    0.00178093  0.055783    0.00164390  0.030190    0.00081815  0.024567    0.00062132  0.056915    0.00121447  0.137431    0.00307840  0.086991    0.00178594  0.089633    0.00163344  0.461593    0.00724538
