  i           filename[i]         MJD  year  mm  dd      i_flux   i_mag    v_mag  snr   mg8807ew  mg_8807_flux  mg8807co  mg_8807_wave  fe8689ew  fe_8689_flux  fe8689co  fe_8689_wave   K7700ew   K_7700_flux  K7700con   K_7700_wave   K7326ew   K_7326_flux  K7326con   K_7326_wave   K7016ew   K_7016_flux  K7016con   K_7016_wave  Li6708ew  Li_6708_flux  Li6708co  Li_6708_wave  bl6500ew  bl_6500_flux  bl6500co  bl_6500_wave  ca6122ew  ca_6122_flux  ca6122co  ca_6122_wave  un5660ew  un_5660_flux  un5660co  un_5660_wave  un5270ew  un_5270_flux  un5270co  un_5270_wave
  0         1046778i.fits  54806.4375  2008  12   6    4.896780  -1.725    12.96  64.0  0.046878    0.00250588  0.053455  880.72998047  0.047765    0.00237585  0.002376  868.90002441  0.055652    0.00224029  0.040255  769.94000244  0.030764    0.00115302  0.037480  732.65002441  0.025526    0.00090923  0.035620  701.66998291  0.057540    0.00173083  0.030081  670.83502197  0.139731    0.00447520  0.032027  649.79998779  0.088331    0.00262717  0.029742  612.25000000  0.094622    0.00255106  0.026961  566.05999756  0.463586    0.01096113  0.023644  526.84997559
  1         1046779i.fits  54806.4531  2008  12   6    5.184492  -1.787    12.90  66.0  0.047739    0.00270865  0.056739  880.72998047  0.049064    0.00258717  0.002587  868.90002441  0.056183    0.00239883  0.042697  769.94000244  0.030790    0.00122290  0.039718  732.65002441  0.025315    0.00095419  0.037692  701.66998291  0.057584    0.00185001  0.032127  670.83502197  0.140187    0.00476801  0.034012  649.79998779  0.088057    0.00278509  0.031628  612.25000000  0.096342    0.00277375  0.028791  566.05999756  0.464982    0.01173134  0.025230  526.84997559
  2         1046780i.fits  54806.4648  2008  12   6    5.079676  -1.765    12.92  65.0  0.047933    0.00267244  0.055754  880.72998047  0.047915    0.00246693  0.002467  868.90002441  0.056334    0.00236965  0.042065  769.94000244  0.031002    0.00120392  0.038833  732.65002441  0.024979    0.00091920  0.036799  701.66998291  0.058499    0.00182013  0.031114  670.83502197  0.138235    0.00456994  0.033059  649.79998779  0.087975    0.00271437  0.030854  612.25000000  0.094090    0.00264196  0.028079  566.05999756  0.469690    0.01159081  0.024678  526.84997559
  3         1046781i.fits  54806.4805  2008  12   6    5.034720  -1.755    12.92  65.0  0.047128    0.00258403  0.054831  880.72998047  0.048851    0.00250422  0.002504  868.90002441  0.055374    0.00228376  0.041242  769.94000244  0.030833    0.00118863  0.038550  732.65002441  0.025675    0.00094320  0.036736  701.66998291  0.057890    0.00179009  0.030922  670.83502197  0.140487    0.00463534  0.032995  649.79998779  0.087189    0.00268225  0.030764  612.25000000  0.091325    0.00253059  0.027710  566.05999756  0.475531    0.01173403  0.024676  526.84997559
  4         1046954i.fits  54807.3867  2008  12   7    5.797891  -1.908    12.77  70.0  0.048199    0.00303530  0.062974  880.72998047  0.049369    0.00291475  0.002915  868.90002441  0.056028    0.00272313  0.048603  769.94000244  0.031155    0.00139653  0.044825  732.65002441  0.026764    0.00115605  0.043195  701.66998291  0.057154    0.00209381  0.036635  670.83502197  0.140445    0.00547055  0.038951  649.79998779  0.088399    0.00323566  0.036603  612.25000000  0.092091    0.00305170  0.033138  566.05999756  0.462995    0.01355368  0.029274  526.84997559
  5         1046955i.fits  54807.4023  2008  12   7    5.824822  -1.913    12.77  70.0  0.049058    0.00312001  0.063598  880.72998047  0.048548    0.00287684  0.002877  868.90002441  0.055524    0.00269800  0.048591  769.94000244  0.031371    0.00141586  0.045133  732.65002441  0.026569    0.00114333  0.043033  701.66998291  0.057456    0.00210947  0.036714  670.83502197  0.141697    0.00554518  0.039134  649.79998779  0.089880    0.00331679  0.036903  612.25000000  0.097386    0.00325545  0.033428  566.05999756  0.472077    0.01386980  0.029380  526.84997559
  6         1046956i.fits  54807.4180  2008  12   7    5.889675  -1.925    12.75  71.0  0.049370    0.00317120  0.064234  880.72998047  0.048922    0.00292177  0.002922  868.90002441  0.054353    0.00267080  0.049138  769.94000244  0.031032    0.00141065  0.045458  732.65002441  0.026312    0.00114368  0.043467  701.66998291  0.057162    0.00212756  0.037220  670.83502197  0.140395    0.00555711  0.039582  649.79998779  0.088520    0.00328950  0.037161  612.25000000  0.089841    0.00303418  0.033773  566.05999756  0.464658    0.01388409  0.029880  526.84997559
  7         1046957i.fits  54807.4297  2008  12   7    5.889884  -1.925    12.75  71.0  0.048092    0.00308986  0.064248  880.72998047  0.048931    0.00293439  0.002934  868.90002441  0.055666    0.00274529  0.049317  769.94000244  0.030628    0.00139450  0.045530  732.65002441  0.027683    0.00121450  0.043872  701.66998291  0.057075    0.00212940  0.037309  670.83502197  0.138937    0.00551377  0.039685  649.79998779  0.087777    0.00326969  0.037250  612.25000000  0.095361    0.00323630  0.033937  566.05999756  0.470084    0.01406749  0.029925  526.84997559
  8         1047097i.fits  54808.4062  2008  12   8    4.087337  -1.529    13.25  57.0  0.047252    0.00216345  0.045786  880.72998047  0.045951    0.00193150  0.001932  868.90002441  0.056674    0.00189668  0.033467  769.94000244  0.030489    0.00093633  0.030711  732.65002441  0.025257    0.00073057  0.028926  701.66998291  0.057449    0.00139400  0.024265  670.83502197  0.140655    0.00362796  0.025793  649.79998779  0.087978    0.00207574  0.023594  612.25000000  0.093591    0.00195844  0.020925  566.05999756  0.462026    0.00837162  0.018119  526.84997559
  9         1047098i.fits  54808.4219  2008  12   8    4.034379  -1.514    13.27  57.0  0.045125    0.00201729  0.044705  880.72998047  0.046452    0.00193641  0.001936  868.90002441  0.056789    0.00186945  0.032919  769.94000244  0.030749    0.00092904  0.030214  732.65002441  0.025329    0.00072518  0.028630  701.66998291  0.055661    0.00131938  0.023704  670.83502197  0.140624    0.00356166  0.025328  649.79998779  0.088211    0.00204355  0.023167  612.25000000  0.087067    0.00177431  0.020379  566.05999756  0.467529    0.00842170  0.018013  526.84997559
 10         1047099i.fits  54808.4375  2008  12   8    3.682022  -1.415    13.38  54.0  0.047581    0.00197190  0.041443  880.72998047  0.047822    0.00184525  0.001845  868.90002441  0.056745    0.00169683  0.029903  769.94000244  0.030313    0.00083874  0.027670  732.65002441  0.024610    0.00063475  0.025793  701.66998291  0.056167    0.00121153  0.021570  670.83502197  0.141652    0.00323644  0.022848  649.79998779  0.088863    0.00186410  0.020977  612.25000000  0.093982    0.00175110  0.018632  566.05999756  0.461034    0.00737586  0.015999  526.84997559
 11         1047100i.fits  54808.4492  2008  12   8    3.631907  -1.400    13.39  54.0  0.046133    0.00187665  0.040679  880.72998047  0.047165    0.00178093  0.001781  868.90002441  0.055783    0.00164390  0.029470  769.94000244  0.030190    0.00081815  0.027100  732.65002441  0.024567    0.00062132  0.025291  701.66998291  0.056915    0.00121447  0.021338  670.83502197  0.137431    0.00307840  0.022400  649.79998779  0.086991    0.00178594  0.020530  612.25000000  0.089633    0.00163344  0.018224  566.05999756  0.461593    0.00724538  0.015696  526.84997559
