#  Epoch        LineName   LineLambda  EqW        Flux            blueX  blueY           RedX     RedY
  2008.000     Ca-1.03     1.03480  8.3170E-05  4.5495E-18      1.0336  5.4944E-14      1.0352  5.4458E-14
  2014.920     Ca-1.03     1.03480  7.1550E-05  1.8044E-18      1.0338  2.5263E-14      1.0351  2.5175E-14
  2014.960     Ca-1.03     1.03480  6.7210E-05  1.5121E-18      1.0338  2.2589E-14      1.0351  2.2406E-14
  2012.000     Ca-1.03     1.03480  7.0497E-05  1.4029E-17      1.0334  1.9938E-13      1.0349  1.9862E-13
  2006.000     Ca-1.03     1.03480  7.3425E-05  5.0339E-18      1.0339  6.8657E-14      1.0355  6.8460E-14
#     maybe
  2008.000     Si-1.06     1.05888  4.8759E-05  2.6245E-18      1.0582  5.3963E-14      1.0598  5.3689E-14
  2014.920     Si-1.06     1.05888  4.6958E-05  1.2007E-18      1.0580  2.5507E-14      1.0597  2.5635E-14
  2014.960     Si-1.06     1.05888  4.2966E-05  9.6682E-19      1.0583  2.2525E-14      1.0596  2.2479E-14
  2012.000     Si-1.06     1.05888  3.7641E-05  7.6887E-18      1.0577  2.0373E-13      1.0596  2.0479E-13
  2006.000     Si-1.06     1.05888  3.8629E-05  2.6304E-18      1.0584  6.8093E-14      1.0601  6.8093E-14
#       yes
  2008.000     Al-1.12     1.12580  9.1379E-05  4.7517E-18      1.1250  5.1912E-14      1.1265  5.2088E-14
  2014.920     Al-1.12     1.12580  8.8911E-05  2.4763E-18      1.1253  2.7903E-14      1.1265  2.7801E-14
  2014.960     Al-1.12     1.12580  7.8082E-05  2.0180E-18      1.1253  2.6049E-14      1.1265  2.5640E-14
  2012.000     Al-1.12     1.12580  0.00022078  4.9419E-17      1.1247  2.2530E-13      1.1267  2.2237E-13
  2006.000     Al-1.12     1.12580  0.00012378  8.0965E-18      1.1253  6.5867E-14      1.1271  6.4954E-14
#    first3
  2008.000     Fe-1.17     1.16450  0.00012019  6.2295E-18      1.1592  5.1929E-14      1.1622  5.1731E-14
  2014.920     Fe-1.17     1.16450  0.00012036  3.4201E-18      1.1589  2.8446E-14      1.1627  2.8383E-14
  2014.960     Fe-1.17     1.16450  0.00011882  3.0591E-18      1.1588  2.5778E-14      1.1621  2.5712E-14
  2012.000     Fe-1.17     1.16450  0.00010311  2.3447E-17      1.1585  2.2790E-13      1.1619  2.2689E-13
  2006.000     Fe-1.17     1.16450  0.00012757  8.0223E-18      1.1590  6.2855E-14      1.1630  6.2920E-14
#       yes
  2008.000     Fe-1.19     1.18870  9.1634E-05  4.6147E-18      1.1880  5.0561E-14      1.1893  5.0160E-14
  2014.920     Fe-1.19     1.18870  7.7561E-05  2.1846E-18      1.1880  2.8341E-14      1.1893  2.7991E-14
  2014.960     Fe-1.19     1.18870  7.7360E-05  2.0010E-18      1.1880  2.5976E-14      1.1892  2.5757E-14
  2012.000     Fe-1.19     1.18870  0.00037713  8.6428E-17      1.1873  2.3045E-13      1.1890  2.2790E-13
  2006.000     Fe-1.19     1.18870  0.00011532  7.0267E-18      1.1881  6.0898E-14      1.1905  6.0964E-14
#redo-wider
  2008.000      K-1.24     1.24368  3.5864E-05  1.7452E-18      1.2431  4.8544E-14      1.2444  4.8778E-14
  2014.920      K-1.24     1.24368  2.9089E-05  8.3324E-19      1.2431  2.8594E-14      1.2444  2.8696E-14
  2014.960      K-1.24     1.24368  2.6450E-05  7.0201E-19      1.2432  2.6519E-14      1.2443  2.6563E-14
  2012.000      K-1.24     1.24368  2.9557E-05  7.0022E-18      1.2428  2.3600E-13      1.2441  2.3781E-13
  2006.000      K-1.24     1.24368  3.0277E-05  1.7750E-18      1.2432  5.8457E-14      1.2447  5.8793E-14
#       yes
  2008.000      K-1.25     1.25260  4.5817E-05  2.2410E-18      1.2522  4.8794E-14      1.2531  4.9032E-14
  2014.920      K-1.25     1.25260  4.0079E-05  1.1653E-18      1.2521  2.9061E-14      1.2533  2.9090E-14
  2014.960      K-1.25     1.25260  3.5053E-05  9.4322E-19      1.2521  2.6881E-14      1.2533  2.6936E-14
  2012.000      K-1.25     1.25260  4.6766E-05  1.1355E-17      1.2517  2.4197E-13      1.2530  2.4362E-13
  2006.000      K-1.25     1.25260  5.2351E-05  3.0894E-18      1.2522  5.8977E-14      1.2536  5.9050E-14
#       yes
  2008.000     Mn-1.29     1.29045  5.9547E-05  2.9182E-18      1.2898  4.9043E-14      1.2911  4.8970E-14
