JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2455172.3333,13.6,,,Vis.,POX,,133,,2007,,,,Z,,,,AA TAU,,STD,,,,
2455260.3215,13.7,,,Vis.,POX,,133,,2007,,,,Z,,,,AA TAU,,STD,,,,
2455893.76525,14.734,0.044,,V,MGW,,91,78,6004DWB,,1,1.035,Z,-9.266,-10.505,,AA TAU,AAVSO,STD,,,,
2455893.76748,12.400,0.018,,I,MGW,,91,78,6004DWB,,1,1.033,Z,-9.314,-10.027,,AA TAU,AAVSO,STD,,,,
2455895.66861,14.579,0.047,,V,MGW,,91,78,6004DWB,GRAS04,1,1.311,Z,-9.202,-10.467,,AA TAU,AAVSO,STD,,,,
2455895.67082,12.271,0.018,,I,MGW,,91,78,6004DWB,GRAS04,1,1.299,Z,-9.285,-10.021,,AA TAU,AAVSO,STD,,,,
2455896.76620,15.113,0.064,,V,MGW,,91,78,6004DWB,GRAS04,1,1.026,Z,-9.045,-10.286,,AA TAU,AAVSO,STD,,,,
2455896.76844,12.674,0.030,,I,MGW,,91,78,6004DWB,GRAS04,1,1.025,Z,-8.756,-9.464,,AA TAU,AAVSO,STD,,,,
2455902.65808,14.371,0.081,,V,MGW,,91,78,6004DWB,GRAS04,1,1.265,Z,-9.193,-10.456,,AA TAU,AAVSO,STD,,,,
2455902.66028,12.331,0.028,,I,MGW,,91,78,6004DWB,GRAS04,1,1.254,Z,-9.275,-10.019,,AA TAU,AAVSO,STD,,,,
2455910.68125,14.943,0.070,,V,MGW,,91,78,6004DWB,GRAS04,1,1.101,Z,-8.995,-10.283,,AA TAU,AAVSO,STD,,,,
2455910.68346,12.664,0.038,,I,MGW,,91,78,6004DWB,GRAS04,1,1.095,Z,-8.694,-9.423,,AA TAU,AAVSO,STD,,,,
2455916.73692,15.521,0.085,,V,MGW,,91,78,6004DWB,GRAS04,1,1.017,Z,-9.052,-10.330,,AA TAU,AAVSO,STD,,,,
2455916.73916,13.448,0.039,,I,MGW,,91,78,6004DWB,GRAS04,1,1.017,Z,-9.155,-9.892,,AA TAU,AAVSO,STD,,,,
2455917.71309,15.294,0.073,,V,MGW,,91,78,6004DWB,GRAS04,1,1.023,Z,-9.069,-10.327,,AA TAU,AAVSO,STD,,,,
2455917.71531,12.841,0.027,,I,MGW,,91,78,6004DWB,GRAS04,1,1.022,Z,-9.168,-9.894,,AA TAU,AAVSO,STD,,,,
2455922.74447,15.259,0.065,,V,MGW,,91,78,6004DWB,GRAS04,1,1.026,Z,-9.082,-10.361,,AA TAU,AAVSO,STD,,,,
2455922.74671,12.837,0.022,,I,MGW,,91,78,6004DWB,GRAS04,1,1.027,Z,-9.180,-9.924,,AA TAU,AAVSO,STD,,,,
2455955.64772,14.525,0.045,,V,MGW,,91,78,6004DWB,,1,1.016,Z,-9.084,-10.377,,AA TAU,AAVSO,STD,,,,
2455955.64997,12.254,0.017,,I,MGW,,91,78,6004DWB,,1,1.017,Z,-9.211,-9.952,,AA TAU,AAVSO,STD,,,,
2456012.62001,14.678,0.103,,V,ROE,,ENSEMBLE,146,6983CFP,,0,1.870,Z,,14.473,,AA TAU,AAVSO,STD,,,,
2456013.60286,14.508,0.108,,V,ROE,,ENSEMBLE,146,6983CFP,U,0,1.685,Z,,14.465,,AA TAU,AAVSO,STD,,,,
