Line Depths [normalized to 2008; larger number -> stronger lines]
Line     2008     2012         dec. 2 2014    dec. 12 2014
1.03 Ca   1.0     0.924     0.957     0.941
1.06 Si   1.0     0.989     1.072     1.167
1.19 Fe   1.0     3.883     0.902     0.851
1.25 K   1.0     1.042     0.897     0.638
1.31 Al   1.0     0.795     0.803     0.747
1.50 Mg   1.0    0.875     0.974     0.979
1.58 Mg   1.0     0.939     0.912     0.833
1.59 Si   1.0     0.943     0.882     0.731
1.67 Al   1.0     1.022     0.967     0.916
1.71 Mg   1.0     0.934     0.859     0.812
1.98 Ca   1.0     1.626     1.4     1.084
2.21 Na   1.0     0.838     0.765     0.741
2.26 Ca   1.0     0.795     0.764     0.745
2.30 CO   1.0     0.783     0.608     0.557
